id,season,week,season_type,start_date,start_time_tbd,neutral_site,conference_game,attendance,venue_id,venue,home_id,home_team,home_conference,home_points,home_post_win_prob,away_id,away_team,away_conference,away_points,away_post_win_prob,excitement_index,team,opponent,team_points,opp_points,win_loss,stadium_lat,stadium_lon,stadium_zip,UL_lat,UL_lon,UL_zip,dist_m,dist_km,dist_mi,MOV,game_dt,game_id,school,conference,home_away,points,total_yards,net_passing_yards,completion_attempts,passing_tds,yards_per_pass,passes_intercepted,interception_yards,interception_tds,rushing_attempts,rushing_yards,rush_tds,yards_per_rush_attempt,first_downs,down3_success,down3_attempts,down4_success,down4_attempts,punt_returns,punt_return_yards,punt_return_tds,kick_return_yards,kick_return_tds,kick_returns,kicking_points,fumbles_recovered,fumbles_lost,total_fumbles,tackles,tackles_for_loss,sacks,qb_hurries,interceptions,passes_deflected,turnovers,defensive_tds,penalties,penalty_yardage,possession_time,down3_eff,down4_eff,penalties_yards_total
400547737,2014,11,regular,2014-11-08T19:15:00.000Z,,FALSE,TRUE,33565,3615,Alumni Stadium,103,Boston College,ACC,19,0.007539820927411493,97,Louisville,ACC,38,0.9924601790725885,5.23489307569999,Louisville,Boston College,38,19,W,42.3351,71.1665,02467,38.2061,85.7588,40209,1319795.50736538,1319.79550736538,820.082654207131,19,2014-11-08,400547737,Louisville,ACC,away,38,423,257,17-24,2,10.7,4,59,0,40,166,3,4.2,21,6,13,0,1,4,29,0,32,0,2,8,0,1,,,,,,0,,1,,10,87,32:11,6-13,0-1,10-87
,2014,12,,,,,,,,,,,,,,,,,,,,,BYE WEEK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400547784,2014,13,regular,2014-11-22T15:30:00.000Z,,FALSE,FALSE,80795,3855,Notre Dame Stadium,87,Notre Dame,FBS Independents,28,0.22747350736683866,97,Louisville,ACC,31,0.7725264926331613,7.26844340519999,Louisville,Notre Dame,31,28,W,41.6984,86.2339,46556,38.2061,85.7588,40209,390867.360564444,390.867360564444,242.873642701289,3,2014-11-22,400547784,Louisville,ACC,away,31,409,180,8-21,1,8.6,1,12,0,50,229,3,4.6,23,6,14,0,0,1,14,0,44,0,2,7,0,0,,,,,,1,,1,,8,57,35:31,6-14,0-0,8-57
400547785,2014,14,regular,2014-11-29T12:00:00.000Z,,FALSE,FALSE,55118,3873,Papa John's Cardinal Stadium,97,Louisville,ACC,44,0.9504508282555985,96,Kentucky,SEC,40,0.04954917174440154,8.9736333042,Louisville,Kentucky,44,40,W,38.2061,85.7588,40209,38.2061,85.7588,40209,0,0,0,4,2014-11-29,400547785,Louisville,ACC,home,44,472,389,22-35,3,11.1,2,72,0,39,83,3,2.1,22,7,15,0,1,3,20,0,68,0,3,8,0,2,,,,,,2,,4,,3,15,31:06,7-15,0-1,3-15
400603829,2015,1,regular,2015-09-05T15:30:00.000Z,,TRUE,FALSE,73927,3495,Georgia Dome,2,Auburn,SEC,31,0.4455522525629152,97,Louisville,ACC,24,0.5544477474370848,2.8054821473,Louisville,Auburn,24,31,L,33.7577,84.4008,30313,38.2061,85.7588,40209,510060.168392492,510.060168392492,316.936596894211,-7,2015-09-05,400603829,Louisville,ACC,away,24,405,167,17-33,0,5.1,3,20,0,48,238,3,5.0,27,8,16,3,3,,,,,,,6,0,1,,,,,,1,,2,,5,35,30:50,8-16,3-3,5-35
400756911,2015,2,regular,2015-09-12T12:00:00.000Z,,FALSE,FALSE,50019,3873,Papa John's Cardinal Stadium,97,Louisville,ACC,31,0.7497857721065084,248,Houston,American Athletic,34,0.25021422789349157,8.7753345361,Louisville,Houston,31,34,L,38.2061,85.7588,40209,38.2061,85.7588,40209,0,0,0,-3,2015-09-12,400756911,Louisville,ACC,home,31,395,325,27-45,2,7.2,1,59,0,26,70,2,2.7,24,5,11,0,0,2,24,0,96,0,5,7,0,2,,,,,,2,,4,,9,80,26:45,5-11,0-0,9-80
400756919,2015,3,regular,2015-09-17T19:30:00.000Z,,FALSE,TRUE,55396,3873,Papa John's Cardinal Stadium,97,Louisville,ACC,17,0.08315809239109984,228,Clemson,ACC,20,0.9168419076089002,6.42264078419999,Louisville,Clemson,17,20,L,38.2061,85.7588,40209,38.2061,85.7588,40209,0,0,0,-3,2015-09-17,400756919,Louisville,ACC,home,17,272,253,20-35,0,7.2,2,16,0,28,19,1,0.7,16,2,14,1,2,1,17,0,168,1,4,5,0,0,,,,,,2,,2,,2,15,29:25,2-14,1-2,2-15
400756934,2015,4,regular,2015-09-26T18:00:00.000Z,,FALSE,FALSE,50121,3873,Papa John's Cardinal Stadium,97,Louisville,ACC,45,0.9999943353780176,2535,Samford,,3,0.000005664621982370832,0.141030254999999,Louisville,Samford,45,3,W,38.2061,85.7588,40209,38.2061,85.7588,40209,0,0,0,42,2015-09-26,400756934,Louisville,ACC,home,45,562,274,18-28,2,9.8,3,5,0,46,288,4,6.3,25,7,14,1,3,4,45,0,12,0,1,9,1,0,,,,,,2,,2,,9,89,34:05,7-14,1-3,9-89
400756943,2015,5,regular,2015-10-03T12:30:00.000Z,,FALSE,TRUE,56417,3670,Carter-Finley Stadium,152,NC State,ACC,13,0.45412023547234426,97,Louisville,ACC,20,0.5458797645276557,6.2405638397,Louisville,NC State,20,13,W,35.8008,78.7196,27607,38.2061,85.7588,40209,680414.091485577,680.414091485577,422.789584440484,7,2015-10-03,400756943,Louisville,ACC,away,20,306,103,10-27,1,3.8,,,,45,203,1,4.5,20,8,18,0,0,2,-5,0,18,0,1,8,2,0,,,,,,0,,0,,6,50,33:04,8-18,0-0,6-50
,2015,6,,,,,,,,,,,,,,,,,,,,,BYE WEEK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
